pmeId,Time,pmeProtocol1,pmeProtocol2,pmeTarget,pmeMessage,pmePrio,pmePrioLevel,pmeDienst,Message,pmeStraat,pmeHouseNumber,pmeHouseNumberAdd,pmeANRoad,pmeHectometerpaal,pmeZip,pmeRegionName,Latitude,Longitude,pmeHash,pmeGeoAccuracy,pme_strId,pme_wplId,pme_gemId,pme_proId,pme_vrgId,pmeCapCodes,pmeLifeLiner,pme_catId,wplNam,gemName,geometry
16185369,2019-12-31 23:49:00,FLEX-A,1600,AORG,P 1 BDH-13 Voertuigbrand Middenstede Haardstede SGRAVH 157730,P 1,1,B,BDH-13 Voertuigbrand 157730,Middenstede,\N,\N,\N,\N,2543TD,Den Haag,52.042146,4.2626822,3wjjPdFIL9ZlDBeD+zf9uELO1Rs=,S,200726,4896,391,12,5170,"1,500,150,150,019,610,000,000,000,000",\N,\N,Den Haag,Den Haag,POINT (4.2626822 52.042146)
16185398,2019-12-31 23:53:00,FLEX-A,1600,AORG,P 1 BDH-14 Buitenbrand Exloostraat SGRAVH 157630,P 1,1,B,BDH-14 Buitenbrand 157630,Exloostraat,\N,\N,\N,\N,2545XN,Den Haag,52.0509128,4.2669106,nxfN1qqEwz1R1GLpCXQMmwuWMDk=,S,199809,4896,391,12,5170,"1,500,148,150,019,610,000,000,000,000",\N,\N,Den Haag,Den Haag,POINT (4.2669106 52.0509128)
16185414,2019-12-31 23:55:00,FLEX-A,1600,AORG,P 2 toch wel naar Buitenbrand afval/rommel Frits Diepenlaan SGRAVH 155630,P 2,2,B,toch wel naar Buitenbrand afval/rommel 155630,Frits Diepenlaan,\N,\N,\N,\N,2497DH,Den Haag,52.0395475,4.3679752999999995,t1jcHEVVMBI0jcFIRwtIh99a8LM=,S,199858,4896,391,12,5170,"150,016,115,039,022,000,000",\N,\N,Den Haag,Den Haag,POINT (4.367975299999999 52.0395475)
16185416,2019-12-31 23:56:00,FLEX-A,1600,AORG,P 2 BDH-08 Buitenbrand afval/rommel Damasstraat SGRAVH 159632,P 2,2,B,BDH-08 Buitenbrand afval/rommel 159632,Damasstraat,\N,\N,\N,\N,2522TJ,Den Haag,52.0577611,4.3290665,Yw3yTf9LWUJCqH7iHNNl0CEH4Ds=,S,199588,4896,391,12,5170,"15,001,481,500,196,100,000,000,000,000,000,000",\N,\N,Den Haag,Den Haag,POINT (4.3290665 52.0577611)
16185424,2019-12-31 23:59:00,FLEX-A,1600,AORG,P 1 BDH-09 Voertuigbrand Van der Vennestraat SGRAVH 156230,P 1,1,B,BDH-09 Voertuigbrand 156230,Van der Vennestraat,\N,\N,\N,\N,2525CA,Den Haag,52.066768200000006,4.2988539,krMuK4zHnOTv3VJwHZbZ07lLeJc=,S,201615,4896,391,12,5170,"1,500,142,150,019,610,000,000,000,000",\N,\N,Den Haag,Den Haag,POINT (4.2988539 52.06676820000001)
16185427,2020-01-01 00:00:00,FLEX-A,1600,AORG,P 1 BDH-12 Voertuigbrand Zilverpad SGRAVH 157730,P 1,1,B,BDH-12 Voertuigbrand Zilverpad 157730,\N,\N,\N,\N,\N,\N,Den Haag,52.0698576,4.2911114,NAZT3sjsEd30CkBN4fpv73J2J+4=,W,\N,4896,391,12,5170,"1,500,150,150,019,610,000,000,000,000",\N,\N,Den Haag,Den Haag,POINT (4.2911114 52.0698576)
16185442,2020-01-01 00:02:00,FLEX-A,1600,AORG,P 1 BDH-08 Voertuigbrand Lauwersstraat SGRAVH 159631,P 1,1,B,BDH-08 Voertuigbrand 159631,Lauwersstraat,\N,\N,\N,\N,2515VX,Den Haag,52.0742376,4.3291481,ca7zHWyGIY+wgMNkQdoO2QhfwWc=,S,200529,4896,391,12,5170,"15,001,481,500,196,100,000,000,000,000,000,000",\N,\N,Den Haag,Den Haag,POINT (4.3291481 52.0742376)
16185476,2020-01-01 00:07:00,FLEX-A,1600,AORG,P 1 BDH-13 Buitenbrand afval/rommel Bussumsestraat SGRAVH 157830,P 1,1,B,BDH-13 Buitenbrand afval/rommel 157830,Bussumsestraat,\N,\N,\N,\N,2574JA,Den Haag,52.0679288,4.275979,f3vzsLYy8X9k4km1lSTXjqFmpJY=,S,199482,4896,391,12,5170,"1,500,142,150,019,610,000,000,000,000",\N,\N,Den Haag,Den Haag,POINT (4.275979 52.0679288)
16185484,2020-01-01 00:08:00,FLEX-A,1600,AORG,P 1 BDH-07 Voertuigbrand Korbootstraat Windasstraat SGRAVH 157230,P 1,1,B,BDH-07 Voertuigbrand 157230,Korbootstraat,\N,\N,\N,\N,2583CT,Den Haag,52.1029222,4.2693783,SPFvext2FqZ2Aw2tnV5B/H0+7m4=,S,200430,4896,391,12,5170,"1,500,140,150,019,610,000,000,000,000",\N,\N,Den Haag,Den Haag,POINT (4.2693783 52.1029222)
16185534,2020-01-01 00:13:00,FLEX-A,1600,AORG,P 1 BDH-08 BR beheerssysteem OMS Haaglanden Megastore Van der Kunstraat SGRAVH 159631,P 1,1,B,BDH-08 Brandmelding beheerssysteem Melding Via Openbaar Meldsysteem Haaglanden Megastore 159631,Van der Kunstraat,\N,\N,\N,\N,2521AW,Den Haag,52.06361029999999,4.3155436,m48kBWy9m95Hnx6eil1dCFMF9IE=,S,201610,4896,391,12,5170,"15,001,481,500,196,100,000,000,000,000,000,000",\N,\N,Den Haag,Den Haag,POINT (4.3155436 52.06361029999999)
